TASK 1 SUMMARY STATISTICS
Metric,Value
Total collisions attempted,22
Successful collisions,22
Failed collisions,0
Bit range tested,8-50
Total time (seconds),145.03
""
BIT SIZE BREAKDOWN
Bits,Success,Attempts,Time (s),Expected Attempts,Ratio (Actual/Expected)
8,Yes,30,0.0001,16,1.88
10,Yes,82,0.0002,32,2.56
12,Yes,87,0.0002,64,1.36
14,Yes,181,0.0003,128,1.41
16,Yes,319,0.0006,256,1.25
18,Yes,302,0.0005,512,0.59
20,Yes,470,0.0008,1024,0.46
22,Yes,622,0.0011,2048,0.30
24,Yes,8164,0.0146,4096,1.99
26,Yes,4936,0.0084,8192,0.60
28,Yes,18272,0.0313,16384,1.12
30,Yes,84991,0.1478,32768,2.59
32,Yes,57212,0.0984,65536,0.87
34,Yes,135822,0.2343,131072,1.04
36,Yes,185357,0.3364,262144,0.71
38,Yes,457698,0.8142,524288,0.87
40,Yes,34966,0.0602,1048576,0.03
42,Yes,2656389,5.0066,2097152,1.27
44,Yes,4920339,10.2915,4194304,1.17
46,Yes,7125290,22.5355,8388608,0.85
48,Yes,14233806,44.6948,16777216,0.85
50,Yes,17992488,60.7539,33554432,0.54
